,Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,data
1773,1731011914.7500849,4601440,1731011914,749267648,,0.0264732877413133,-0.0290970494741319,0.0343374419273053,1.0865229277312946e-05,-3.748379359705245e-05,0.9030521172044508,0.429530990837065,begin_weld
1774,1731011914.8109162,4601441,1731011914,810232491,,0.0267108468035101,-0.0295798549485254,0.0343606725775699,-3.00111352198666e-05,-1.846042336188956e-05,0.9030223550314852,0.4295935579963166,begin_weld
1775,1731011914.87089,4601442,1731011914,870234688,,0.026924542405767,-0.0300333189511556,0.0343647109689969,-2.3618982597589333e-05,2.678132619650643e-05,0.9030194735659296,0.4295996148573872,begin_weld
1776,1731011914.930853,4601443,1731011914,930233839,,0.0271580883490143,-0.0303849472736161,0.0343381575798767,2.161181720077736e-05,-1.7634677853529344e-05,0.9030430161893104,0.4295501252865147,begin_weld
1777,1731011914.991288,4601444,1731011914,990232650,,0.0274195623818051,-0.0308171777533578,0.0343639142657682,-2.977079919868452e-05,-5.133273695776147e-05,0.903027622873096,0.4295824819598854,begin_weld
1778,1731011915.0509782,4601445,1731011915,50236979,,0.0275971242086019,-0.0312613341640384,0.0343396745710525,1.606798723569895e-05,1.5730715625481433e-05,0.9030351116838096,0.4295667428474578,begin_weld
1779,1731011915.1111777,4601446,1731011915,110233115,,0.027820296798719,-0.0317346766043779,0.0343631538033647,-2.076199531009025e-05,3.374269772300181e-05,0.9030140487312924,0.4296110173450967,begin_weld
1780,1731011915.1710336,4601447,1731011915,170239644,,0.0280604037144345,-0.0320669781257083,0.0343399927460205,1.835786600632265e-05,-3.231942920309184e-05,0.9030572185481758,0.4295202656993911,begin_weld
1781,1731011915.2312918,4601448,1731011915,230249377,,0.0282495910343348,-0.0325653772072192,0.0343597369805399,-1.0509895624016838e-05,6.697135073334594e-06,0.903028277677732,0.4295811094066861,begin_weld
1782,1731011915.290949,4601449,1731011915,290232740,,0.0284479599532303,-0.0330276910168222,0.034363125334569,-2.129577495700458e-05,3.0953495252162e-05,0.903017999255364,0.4296027136892998,begin_weld
1783,1731011915.35117,4601450,1731011915,350242183,,0.0286560374557519,-0.0333710409230449,0.0343205069030491,4.158806047183216e-05,-5.094631138478347e-06,0.90305830164152,0.4295179880759496,begin_weld
1784,1731011915.410909,4601451,1731011915,410232077,,0.0288766756169089,-0.0338896659962554,0.0343739039732336,-4.018091835785134e-05,8.645759471525909e-06,0.9030144735403268,0.4296101242841366,begin_weld
1785,1731011915.4709349,4601452,1731011915,470232498,,0.0290269100868479,-0.0342507166217808,0.0343182525959215,6.736589802616938e-05,1.682466249716698e-05,0.9030658076304132,0.4295022028669891,begin_weld
1786,1731011915.5312188,4601453,1731011915,530236492,,0.0292538151973066,-0.0347451692192893,0.034359886670285,-1.8870756305352733e-05,-2.0685662957133875e-06,0.9030251581303234,0.4295876667495474,begin_weld
1787,1731011915.590921,4601454,1731011915,590233209,,0.0294213763159832,-0.0352015489366984,0.0343523100735645,-1.8507846037436668e-07,3.248744857061173e-05,0.903025996382068,0.4295859038687194,begin_weld
1788,1731011915.6503758,4601455,1731011915,649308969,,0.0296426677286965,-0.0355964491252535,0.0343543886582874,-1.6458199930985688e-05,-2.117519436738444e-05,0.90303402863107,0.4295690193846369,begin_weld
1789,1731011915.7105107,4601456,1731011915,709252374,,0.0298040983631947,-0.0360728856111316,0.0343534023457642,-1.0557502060093836e-05,1.822562675815764e-05,0.90302557389004,0.4295867926937812,begin_weld
1790,1731011915.7707355,4601457,1731011915,770232152,,0.029993639899063,-0.0365055435855291,0.0343541422754171,-1.2401477103730202e-06,7.375743810953495e-06,0.9030381272118642,0.4295604040711264,begin_weld
1791,1731011915.83104,4601458,1731011915,830233881,,0.0301795646087437,-0.036958973231107,0.0343633617540553,-2.6892890192301528e-05,-1.047054769015838e-05,0.903026036718204,0.4295858193378282,begin_weld
1792,1731011915.8907952,4601459,1731011915,890232355,,0.0303310979665302,-0.0373897510716066,0.034347490821404,2.5263215276922297e-06,-1.034567350275652e-05,0.9030374500764158,0.4295618275010824,begin_weld
1793,1731011915.9511268,4601460,1731011915,950235917,,0.0304580579815001,-0.0378447812561432,0.0343273840167007,4.5542425784224426e-05,2.808272721072408e-05,0.9030456282981032,0.4295446313818063,begin_weld
1794,1731011916.0109637,4601461,1731011916,10234092,,0.0306796492956226,-0.0383150844833425,0.0343678481993908,-3.739106018820791e-05,-1.8573814657332285e-05,0.9030220568661002,0.4295941841671506,begin_weld
1795,1731011916.0707965,4601462,1731011916,70232976,,0.0308123973129102,-0.0387778939783647,0.0343571087273338,-9.283340185280562e-06,1.5782142874974603e-05,0.9030253883749266,0.4295871827872155,begin_weld
1796,1731011916.1300914,4601463,1731011916,129258929,,0.0309729165308822,-0.0392042016205156,0.0343536469521741,-5.768848021399488e-06,5.22286700590865e-07,0.9030353160907788,0.4295663136923968,begin_weld
1797,1731011916.1899548,4601464,1731011916,189250129,,0.0311155326455255,-0.039676460576937,0.034356162474111,-1.155330512172734e-05,6.129947542126463e-06,0.9030249453467704,0.4295881142564434,begin_weld
1798,1731011916.2509074,4601465,1731011916,250236040,,0.0312514889123876,-0.0401289725975306,0.0343458663822172,6.21120754708306e-06,3.969916600228349e-06,0.903030421711973,0.4295766024917523,begin_weld
1799,1731011916.3109896,4601466,1731011916,310235146,,0.0313945280216867,-0.0405846365414775,0.0343474994793467,3.0124571131205698e-06,-2.0827017749343805e-06,0.9030314570156524,0.4295744261787187,begin_weld
1800,1731011916.3707876,4601467,1731011916,370231504,,0.0315097174546434,-0.0410593237788922,0.0343430541725794,1.9766215185834023e-05,2.7576913884781037e-05,0.9030336485032175,0.4295698179804742,begin_weld
1801,1731011916.4309018,4601468,1731011916,430232277,,0.0316936889251547,-0.0414891168002962,0.0343527474394818,-1.599806441043157e-05,-2.8499029091214154e-05,0.9030346530179576,0.4295677063986585,begin_weld
1802,1731011916.4907897,4601469,1731011916,490233640,,0.0318003984362299,-0.0419788543184004,0.0343528470175893,-7.39194870677239e-08,1.2787439808881091e-05,0.9030313272341832,0.4295746988244833,begin_weld
1803,1731011916.551146,4601470,1731011916,550236503,,0.0319352178448039,-0.0423994531772731,0.0343386600924086,8.597150766339101e-06,-2.483167749096626e-05,0.9030443197666562,0.4295473848676695,begin_weld
